respondent_id,company_name,industry,subindustry,hq_country,hq_state,company_size_bucket,employees,annual_revenue_usd,decision_maker_role,seniority,decision_authority_1to5,buying_stage,acquisition_channel,contact_preference,budget_bucket,budget_estimate_usd,urgency_1to5,timeline_days,procurement_complexity_1to5,vendor_count_considered,risk_tolerance_1to5,technical_maturity_1to5,existing_tools,integration_requirements,evaluation_weight_price,evaluation_weight_roi,evaluation_weight_security,evaluation_weight_scalability,evaluation_weight_ease_of_use,evaluation_weight_support,evaluation_weight_compliance,topics,psychographic_tags,persona,cluster_id,cluster_confidence_0to1,sentiment_polarity,sentiment_label,response_text,pain_point_summary,goal_summary,recommended_message_angle,next_best_action,dataset_version,dataset_created_utc
R02751,Pioneer Enterprises 3750,Professional Services,Consulting,United States,OH,"1,001‑5,000",2517,347433590.07,VP of Operations,VP,4,Evaluation,Referral,Video Call,$100k‑$500k,236886.87,4,88,5,7,4,3,"Salesforce, Tableau",REST/GraphQL API for data sync; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.025,0.2504,0.0433,0.0813,0.1592,0.1689,0.2719,"analytics, compliance, usability","Integration‑First, Compliance‑Driven, Security‑Focused",Security Guardian,1,0.708,0.304,positive,"As the VP of Operations, I'm evaluating options because proposal cycles lack insight into win themes. Our objective is to de‑risk the rollout across teams while minimizing disruption. We need clear integration paths and a fast security review to move forward.",proposal cycles lack insight into win themes,de‑risk the rollout across teams,"Open with security posture, attestations, and reference architectures for compliance.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:33
R07488,Vertex Analytics 8487,Healthcare & Life Sciences,Hospitals,United States,AZ,51‑200,132,7253676.58,VP of Engineering,VP,4,Consideration,Partner/Marketplace,Video Call,$25k‑$100k,67915.48,1,138,4,6,3,4,Epic,REST/GraphQL API for data sync; SIEM forwarding for audit logs; evidence of SOC 2 Type II; role‑based access control,0.0065,0.1108,0.0837,0.2211,0.0822,0.2144,0.2812,"compliance, integration, usability","Security‑Focused, Risk‑Averse",Security Guardian,1,0.697,0.166,positive,"As the VP of Engineering, I'm evaluating options because EHR integration stalls pilots. Our objective is to increase adoption by non‑technical users while minimizing disruption. We need clear integration paths and a fast security review to move forward.",EHR integration stalls pilots,increase adoption by non‑technical users,"Open with security posture, attestations, and reference architectures for compliance.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:37
R05273,Nimbus Holdings 6272,Manufacturing,Electronics,United States,VA,"201‑1,000",868,225363355.43,CISO,Executive,4,Decision,Content/SEO,Video Call,$100k‑$500k,101280.11,5,23,2,3,3,4,SAP,REST/GraphQL API for data sync; SIEM forwarding for audit logs; batch export to data warehouse; role‑based access control,0.0358,0.1337,0.1579,0.1989,0.1114,0.1344,0.2279,"analytics, modernization","Integration‑First, Security‑Focused, Compliance‑Driven",Security Guardian,1,0.595,0.527,positive,"As the CISO, I'm evaluating options because downtime tracking lacks real‑time visibility. Our objective is to standardize data pipelines while minimizing disruption. We need clear integration paths and a fast security review to move forward.",downtime tracking lacks real‑time visibility,standardize data pipelines,"Open with security posture, attestations, and reference architectures for compliance.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:35
R05654,Vertex Labs 6653,Manufacturing,Electronics,United States,CA,"5,001+",15574,2510594602.59,IT Manager,Manager,2,Awareness,Conference/Event,Email,$100k‑$500k,332610.48,3,98,5,9,3,2,"Siemens, Salesforce, SAP",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; event streaming via webhooks; role‑based access control,0.227,0.1105,0.0882,0.1247,0.2776,0.1388,0.0331,"analytics, integration, modernization","Integration‑First, Speed‑Seeker, Innovator",Scale & Integration Lead,2,0.483,0.068,neutral,"As the IT Manager, I'm evaluating options because downtime tracking lacks real‑time visibility. Our objective is to improve ROI visibility while minimizing disruption. We need clear integration paths and a fast security review to move forward.",downtime tracking lacks real‑time visibility,improve ROI visibility,"Show integration blueprints, APIs, and reference deployments at scale.",Share a 2‑page overview and customer story relevant to their industry.,1.0,2025-08-18T18:29:35
R04000,Redwood Labs 4999,Software & SaaS,HR Tech,United States,OH,51‑200,79,7157224.66,IT Manager,Manager,2,Post‑Purchase,Partner/Marketplace,Email,<$25k,20047.17,2,172,3,4,2,5,"Segment, Okta",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.102,0.2613,0.1488,0.2512,0.1288,0.1021,0.0058,"automation, integration","Data‑Driven, Risk‑Averse",ROI Maximizer,0,0.898,0.157,positive,"As the IT Manager, I'm evaluating options because security reviews drag deals for weeks. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,shorten the sales cycle,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Set a quarterly business review focused on expansion opportunities.,1.0,2025-08-18T18:29:34
R06034,Paragon Industries 7033,Software & SaaS,DevTools,United States,CO,"201‑1,000",922,174602947.99,IT Manager,Manager,2,Consideration,Outbound SDR,Email,$100k‑$500k,466342.43,3,95,4,8,2,4,"Okta, Salesforce",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; event streaming via webhooks,0.0543,0.2537,0.0402,0.1276,0.0651,0.3545,0.1047,"automation, integration","Innovator, Cost‑Conscious",ROI Maximizer,0,0.704,-0.141,negative,"As the IT Manager, I'm evaluating options because tool sprawl is driving higher costs. Our objective is to increase adoption by non‑technical users while minimizing disruption. We need clear integration paths and a fast security review to move forward.",tool sprawl is driving higher costs,increase adoption by non‑technical users,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:36
R00583,Atlas Analytics 1582,Financial Services,Banking,United States,AZ,51‑200,161,22284668.61,Director of Data/Analytics,Director,3,Decision,Conference/Event,Email,>$500k,1470156.93,3,88,3,10,2,1,"Splunk, ServiceNow, Workday",REST/GraphQL API for data sync; batch export to data warehouse; data residency controls; event streaming via webhooks,0.2434,0.1003,0.1116,0.2013,0.142,0.1231,0.0783,"automation, modernization, security","Risk‑Averse, Security‑Focused, Compliance‑Driven",Security Guardian,1,0.975,0.14,positive,"As the Director of Data/Analytics, I'm evaluating options because legacy mainframes limit modernization. Our objective is to increase adoption by non‑technical users while minimizing disruption. We need clear integration paths and a fast security review to move forward.",legacy mainframes limit modernization,increase adoption by non‑technical users,"Open with security posture, attestations, and reference architectures for compliance.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:32
R09931,BlueRiver Solutions 10930,Government & Education,Higher‑Ed,United States,TN,"1,001‑5,000",2487,1147332123.62,Operations Manager,Manager,2,Decision,Conference/Event,Video Call,$25k‑$100k,78188.55,3,84,5,8,1,2,Salesforce,batch export to data warehouse; data residency controls; evidence of SOC 2 Type II; role‑based access control,0.0051,0.2098,0.2529,0.112,0.1219,0.2039,0.0944,"automation, cost, scale","Risk‑Averse, Data‑Driven",ROI Maximizer,0,0.674,0.281,positive,"As the Operations Manager, I'm evaluating options because procurement cycles are lengthy. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",procurement cycles are lengthy,shorten the sales cycle,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:38
R07052,Nimbus Partners 8051,Manufacturing,Automotive,United States,OH,"201‑1,000",795,238347893.91,CISO,Executive,4,Evaluation,Paid Ads,Email,$100k‑$500k,157253.82,5,37,3,5,1,4,Siemens,SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; data residency controls; event streaming via webhooks; evidence of SOC 2 Type II,0.0063,0.1025,0.0939,0.2448,0.2196,0.1137,0.2192,"automation, cost, usability","Integration‑First, Risk‑Averse, Speed‑Seeker",Security Guardian,1,0.846,-0.107,negative,"As the CISO, I'm evaluating options because supply chain variability hurts forecasts. Our objective is to improve ROI visibility while minimizing disruption. We need clear integration paths and a fast security review to move forward.",supply chain variability hurts forecasts,improve ROI visibility,"Open with security posture, attestations, and reference architectures for compliance.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:36
R08159,Nimbus Labs 9158,Retail & E‑commerce,CPG,United States,CA,"201‑1,000",416,265461385.94,CISO,Executive,4,Consideration,Partner/Marketplace,Phone Call,$25k‑$100k,30916.8,2,136,4,10,2,3,Shopify,HIPAA/PCI mappings; SIEM forwarding for audit logs; batch export to data warehouse; data residency controls; event streaming via webhooks,0.2134,0.0306,0.1908,0.1771,0.0581,0.178,0.1519,"analytics, integration","Security‑Focused, Compliance‑Driven",Security Guardian,1,0.834,-0.482,negative,"As the CISO, I'm evaluating options because inventory signals are delayed. Our objective is to accelerate integrations while minimizing disruption. We need clear integration paths and a fast security review to move forward.",inventory signals are delayed,accelerate integrations,"Open with security posture, attestations, and reference architectures for compliance.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:37
R09897,Silverline Analytics 10896,Retail & E‑commerce,CPG,United States,AZ,1‑50,45,1947562.34,CTO,Executive,5,Evaluation,Content/SEO,Email,<$25k,6477.31,4,43,2,7,3,4,"BigQuery, Snowflake",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.0864,0.1963,0.031,0.3693,0.1749,0.1218,0.0203,"cost, scale, usability","Integration‑First, Cost‑Conscious",ROI Maximizer,0,0.694,-0.017,neutral,"As the CTO, I'm evaluating options because inventory signals are delayed. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",inventory signals are delayed,shorten the sales cycle,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:38
R02250,IronPeak Industries 3249,Software & SaaS,Analytics,United States,WI,"1,001‑5,000",4811,773046829.12,VP of Marketing,VP,4,Evaluation,Referral,Self‑serve Demo,$25k‑$100k,45122.2,4,34,3,9,3,4,"Snowflake, Datadog, Segment",REST/GraphQL API for data sync; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.0974,0.0916,0.1301,0.165,0.2818,0.0388,0.1953,"analytics, compliance, integration","Speed‑Seeker, Data‑Driven",Operations Efficiency Champ,3,0.87,-0.118,negative,"As the VP of Marketing, I'm evaluating options because integration debt is slowing engineering velocity. Our objective is to consolidate overlapping tools while minimizing disruption. We need clear integration paths and a fast security review to move forward.",integration debt is slowing engineering velocity,consolidate overlapping tools,"Emphasize automation, workflow acceleration, and measurable productivity lifts.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:33
R04641,Stonebridge Solutions 5640,Energy & Utilities,Oil & Gas,United States,NC,51‑200,53,9323407.38,Product Manager,Manager,2,Decision,Conference/Event,Self‑serve Demo,>$500k,1562704.46,3,95,3,4,2,3,"ServiceNow, Snowflake, SAP",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; evidence of SOC 2 Type II; role‑based access control,0.0579,0.074,0.0506,0.1114,0.2632,0.1921,0.2509,"analytics, cost, modernization","Security‑Focused, Risk‑Averse, Innovator, Compliance‑Driven",Security Guardian,1,0.761,0.229,positive,"As the Product Manager, I'm evaluating options because grid telemetry lacks normalization. Our objective is to reduce time‑to‑value while minimizing disruption. We need clear integration paths and a fast security review to move forward.",grid telemetry lacks normalization,reduce time‑to‑value,"Open with security posture, attestations, and reference architectures for compliance.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:35
R09486,Redwood Systems 10485,Software & SaaS,Cybersecurity,United States,FL,51‑200,162,37141557.12,IT Manager,Manager,2,Decision,Paid Ads,Video Call,$100k‑$500k,352750.8,3,91,2,1,2,5,"Okta, Segment",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.059,0.3125,0.266,0.1259,0.1386,0.0162,0.0818,"analytics, security","Security‑Focused, Risk‑Averse",Security Guardian,1,0.921,0.114,positive,"As the IT Manager, I'm evaluating options because integration debt is slowing engineering velocity. Our objective is to standardize data pipelines while minimizing disruption. We need clear integration paths and a fast security review to move forward.",integration debt is slowing engineering velocity,standardize data pipelines,"Open with security posture, attestations, and reference architectures for compliance.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:38
R04948,Lumina Industries 5947,Software & SaaS,FinTech Infra,United States,PA,"201‑1,000",500,77574437.37,Head of Procurement,Director,4,Consideration,Outbound SDR,Phone Call,$25k‑$100k,33950.74,4,46,3,4,4,4,"Segment, Salesforce, Jira",HIPAA/PCI mappings; event streaming via webhooks; evidence of SOC 2 Type II,0.0966,0.0475,0.0526,0.257,0.1014,0.3114,0.1336,"analytics, compliance, usability","Risk‑Averse, Relationship‑Driven",Relationship‑Centric Buyer,4,0.648,-0.198,negative,"As the Head of Procurement, I'm evaluating options because security reviews drag deals for weeks. Our objective is to consolidate overlapping tools while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,consolidate overlapping tools,"Highlight white‑glove onboarding, success plans, and executive alignment.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:35
R09921,Velocity Group 10920,Software & SaaS,DevTools,United States,WA,"201‑1,000",347,93586415.07,Head of Procurement,Director,4,Consideration,Referral,Email,$100k‑$500k,207162.55,4,45,4,9,5,4,"GitHub, Okta, Datadog",REST/GraphQL API for data sync; SIEM forwarding for audit logs; batch export to data warehouse; data residency controls; event streaming via webhooks,0.3205,0.1002,0.0588,0.1036,0.1336,0.1212,0.1621,"analytics, security","Security‑Focused, Compliance‑Driven",Security Guardian,1,0.652,-0.087,neutral,"As the Head of Procurement, I'm evaluating options because security reviews drag deals for weeks. Our objective is to improve ROI visibility while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,improve ROI visibility,"Open with security posture, attestations, and reference architectures for compliance.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:38
R01964,BlueRiver Systems 2963,Logistics & Transportation,Freight,United States,AZ,"1,001‑5,000",4027,1020608582.12,VP of Engineering,VP,4,Consideration,Outbound SDR,Phone Call,>$500k,1072299.05,2,137,5,8,4,1,"Salesforce, Snowflake, Oracle, SAP",SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.1552,0.1373,0.1167,0.127,0.1554,0.0786,0.2297,"automation, modernization","Integration‑First, Security‑Focused",Security Guardian,1,0.719,0.24,positive,"As the VP of Engineering, I'm evaluating options because route optimization is static. Our objective is to improve ROI visibility while minimizing disruption. We need clear integration paths and a fast security review to move forward.",route optimization is static,improve ROI visibility,"Open with security posture, attestations, and reference architectures for compliance.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:33
R08244,Clearview Solutions 9243,Professional Services,Accounting,United States,VA,1‑50,31,204420.47,CTO,Executive,5,Decision,Conference/Event,Email,<$25k,22478.97,3,58,1,1,3,4,"Asana, Salesforce",SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; role‑based access control,0.1028,0.0962,0.1127,0.1997,0.1771,0.2342,0.0774,"analytics, modernization","Integration‑First, ROI‑Driven, Innovator",Scale & Integration Lead,2,0.795,-0.08,neutral,"As the CTO, I'm evaluating options because utilization is below target. Our objective is to increase adoption by non‑technical users while minimizing disruption. We need clear integration paths and a fast security review to move forward.",utilization is below target,increase adoption by non‑technical users,"Show integration blueprints, APIs, and reference deployments at scale.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:37
R06591,Atlas Industries 7590,Software & SaaS,FinTech Infra,United States,MD,"1,001‑5,000",4586,305043077.96,VP of Marketing,VP,4,Evaluation,Referral,Self‑serve Demo,$25k‑$100k,76114.38,3,109,5,6,2,5,Datadog,REST/GraphQL API for data sync; SIEM forwarding for audit logs; event streaming via webhooks; role‑based access control,0.1553,0.261,0.0439,0.1661,0.2878,0.0384,0.0475,"analytics, scale","Compliance‑Driven, Speed‑Seeker",Security Guardian,1,0.67,-0.01,neutral,"As the VP of Marketing, I'm evaluating options because integration debt is slowing engineering velocity. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",integration debt is slowing engineering velocity,shorten the sales cycle,"Open with security posture, attestations, and reference architectures for compliance.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:36
R08848,Lumina Holdings 9847,Telecom & Media,AdTech,United States,MN,"201‑1,000",597,155120869.15,Head of Procurement,Director,4,Decision,Open Source/Community,Email,>$500k,1864306.12,4,55,3,8,4,5,ServiceNow,HIPAA/PCI mappings; SIEM forwarding for audit logs; SSO with SAML/OIDC; event streaming via webhooks; evidence of SOC 2 Type II; role‑based access control,0.0829,0.1207,0.2203,0.0896,0.0994,0.0794,0.3076,"integration, security","Security‑Focused, Cost‑Conscious, Data‑Driven",ROI Maximizer,0,0.799,-0.011,neutral,"As the Head of Procurement, I'm evaluating options because content delivery costs are rising. Our objective is to de‑risk the rollout across teams while minimizing disruption. We need clear integration paths and a fast security review to move forward.",content delivery costs are rising,de‑risk the rollout across teams,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:38
R00322,NorthStar Systems 1321,Financial Services,Asset Mgmt,United States,MD,51‑200,71,19226760.77,IT Manager,Manager,2,Decision,Paid Ads,Email,$100k‑$500k,385087.2,5,24,3,5,2,4,Salesforce,HIPAA/PCI mappings; batch export to data warehouse; role‑based access control,0.0947,0.2324,0.124,0.0579,0.1467,0.1882,0.1561,"automation, scale","Compliance‑Driven, Relationship‑Driven",Relationship‑Centric Buyer,4,0.825,0.271,positive,"As the IT Manager, I'm evaluating options because risk models are fragmented across teams. Our objective is to improve ROI visibility while minimizing disruption. We need clear integration paths and a fast security review to move forward.",risk models are fragmented across teams,improve ROI visibility,"Highlight white‑glove onboarding, success plans, and executive alignment.",Propose a pilot with success criteria and executive sponsor alignment.,1.0,2025-08-18T18:29:32
